,Date,# of Comments,,,,,,,,,,
0,1/26/2021,354,,,,,,,,,,
1,1/27/2021,704,,,,,,,,,,
2,1/25/2021,274,,,,,,,,,,
3,1/22/2021,230,,,,,,,,,,
4,1/28/2021,836,,,,,,,,,,
5,1/29/2021,676,,,,,,,,,,
6,2/2/2021,686,,,,,,,,,,
7,2/1/2021,929,,,,,,,,,,
8,1/21/2021,112,,,,,,,,,,
9,1/19/2021,122,,,,,,,,,,
10,12/8/2020,62,,,,,,,,,,
11,1/31/2021,602,,,,,,,,,,
12,1/30/2021,271,,,,,,,,,,
13,12/30/2020,56,,,,,,,,,,
14,1/23/2021,57,,,,,,,,,,
15,1/13/2021,48,,,,,,,,,,
16,1/17/2021,52,,,,,,,,,,
17,10/10/2020,15,,,,,,,,,,
18,1/24/2021,30,,,,,,,,,,
19,1/14/2021,31,,,,,,,,,,
20,9/8/2020,22,,,,,,,,,,
21,10/8/2020,16,,,,,,,,,,
22,1/20/2021,38,,,,,,,,,,
,,,,,,final data should look like ,,,,,,
,,,,,,,day,hr,r value,,,
,,,,,,,1,,(a+b)/2,<- avg for day,,
,,,,,,,,1,a,,,day 1 r
,,,,,,,,2,b,,,day 2 r
,,,,,,,2,,(a+b)/3,<- avg for day,,compare day X r to 
,,,,,,,,1,a,,,
,,,,,,,,2,b,,,
,,,,,,,,3,c,,,
