Date,Open,High,Low,Close,Adj Close,Volume,Stock_Date,Change,Abs_Change
12/1/2020,17.110001,17.4,15.76,15.8,15.8,12666000.0,2020-12-01,-1.3100009999999997,1.3100009999999997
12/2/2020,15.7,16.68,15.38,16.58,16.58,7883400.0,2020-12-02,0.879999999999999,0.879999999999999
12/3/2020,16.48,16.639999,15.87,16.120001,16.120001,6295000.0,2020-12-03,-0.35999900000000196,0.35999900000000196
12/4/2020,16.299999,17.290001,16.26,16.9,16.9,8972700.0,2020-12-04,0.6000009999999989,0.6000009999999989
12/7/2020,17.0,17.5,16.219999,16.35,16.35,7386300.0,2020-12-07,-0.6499999999999986,0.6499999999999986
12/8/2020,16.370001,17.209999,15.93,16.940001,16.940001,16120200.0,2020-12-08,0.5700000000000003,0.5700000000000003
12/9/2020,13.92,14.73,13.23,13.66,13.66,24357900.0,2020-12-09,-0.2599999999999998,0.2599999999999998
12/10/2020,13.12,14.41,13.05,14.12,14.12,7558900.0,2020-12-10,1.0,1.0
12/11/2020,13.91,14.0,13.02,13.31,13.31,7496900.0,2020-12-11,-0.5999999999999996,0.5999999999999996
12/14/2020,13.34,13.43,12.14,12.72,12.72,10007100.0,2020-12-14,-0.6199999999999992,0.6199999999999992
12/15/2020,12.78,14.02,12.48,13.85,13.85,8192900.0,2020-12-15,1.0700000000000003,1.0700000000000003
12/16/2020,13.96,14.31,13.58,13.85,13.85,5865100.0,2020-12-16,-0.11000000000000121,0.11000000000000121
12/17/2020,13.96,14.98,13.59,14.83,14.83,8194900.0,2020-12-17,0.8699999999999992,0.8699999999999992
12/18/2020,15.78,16.299999,15.18,15.63,15.63,16618800.0,2020-12-18,-0.14999999999999858,0.14999999999999858
12/21/2020,15.81,16.35,15.28,15.53,15.53,9876100.0,2020-12-21,-0.28000000000000114,0.28000000000000114
12/22/2020,16.219999,20.040001,16.15,19.459999,19.459999,30652700.0,2020-12-22,3.2399999999999984,3.2399999999999984
12/23/2020,20.17,22.35,19.129999,20.57,20.57,25830300.0,2020-12-23,0.3999999999999986,0.3999999999999986
12/24/2020,21.01,21.48,19.950001,20.15,20.15,6262200.0,2020-12-24,-0.860000000000003,0.860000000000003
12/28/2020,21.309999,21.969999,20.35,20.99,20.99,8965900.0,2020-12-28,-0.3199990000000028,0.3199990000000028
12/29/2020,20.82,21.07,18.559999,19.379999,19.379999,9241400.0,2020-12-29,-1.4400009999999988,1.4400009999999988
12/30/2020,19.379999,20.0,18.85,19.26,19.26,5934400.0,2020-12-30,-0.11999899999999997,0.11999899999999997
12/31/2020,19.25,19.799999,18.799999,18.84,18.84,6918900.0,2020-12-31,-0.41000000000000014,0.41000000000000014
1/4/2021,19.0,19.1,17.15,17.25,17.25,10022500.0,2021-01-04,-1.75,1.75
1/5/2021,17.35,18.08,17.23,17.370001,17.370001,4961500.0,2021-01-05,0.02000099999999705,0.02000099999999705
1/6/2021,17.34,18.98,17.33,18.360001,18.360001,6056200.0,2021-01-06,1.0200010000000006,1.0200010000000006
1/7/2021,18.469999,19.450001,18.02,18.08,18.08,6129300.0,2021-01-07,-0.3899990000000031,0.3899990000000031
1/8/2021,18.18,18.299999,17.08,17.690001,17.690001,6464500.0,2021-01-08,-0.48999900000000096,0.48999900000000096
1/11/2021,19.41,20.65,19.01,19.940001,19.940001,14927600.0,2021-01-11,0.5300009999999986,0.5300009999999986
1/12/2021,19.959999,20.4,19.32,19.950001,19.950001,7060700.0,2021-01-12,-0.009997999999999507,0.009997999999999507
1/13/2021,20.42,38.650002,20.030001,31.4,31.4,144501700.0,2021-01-13,10.979999999999997,10.979999999999997
1/14/2021,38.09,43.060001,33.049999,39.91,39.91,93717400.0,2021-01-14,1.8199999999999932,1.8199999999999932
1/15/2021,38.490002,40.75,34.009998,35.5,35.5,46752200.0,2021-01-15,-2.990001999999997,2.990001999999997
1/19/2021,41.549999,45.52,36.639999,39.360001,39.360001,74721900.0,2021-01-19,-2.1899980000000028,2.1899980000000028
1/20/2021,37.369999,41.189999,36.060001,39.119999,39.119999,33471800.0,2021-01-20,1.75,1.75
1/21/2021,39.23,44.75,37.0,43.029999,43.029999,57079800.0,2021-01-21,3.7999989999999997,3.7999989999999997
1/22/2021,42.59,76.760002,42.32,65.010002,65.010002,196784300.0,2021-01-22,22.420001999999997,22.420001999999997
1/25/2021,96.730003,159.179993,61.130001,76.790001,76.790001,177874000.0,2021-01-25,-19.940001999999993,19.940001999999993
1/26/2021,88.559998,150.0,80.199997,147.979996,147.979996,178588000.0,2021-01-26,59.41999800000001,59.41999800000001
1/27/2021,354.829987,380.0,249.0,347.51001,347.51001,93396700.0,2021-01-27,-7.319976999999994,7.319976999999994
1/28/2021,265.0,483.0,112.25,193.600006,193.600006,58815800.0,2021-01-28,-71.39999399999999,71.39999399999999
1/29/2021,379.709991,413.980011,250.0,325.0,325.0,50259200.0,2021-01-29,-54.709991,54.709991
2/1/2021,316.559998,322.0,212.0,225.0,225.0,37382200.0,2021-02-01,-91.55999800000001,91.55999800000001
2/2/2021,140.759995,158.0,74.220001,90.0,90.0,78183100.0,2021-02-02,-50.759995,50.759995
2/3/2021,112.010002,113.400002,85.25,92.410004,92.410004,42698500.0,2021-02-03,-19.599998,19.599998
